City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
136,Bengkulu,ID,75.06,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
137,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
138,Bethel,US,85.35,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
139,Kalmunai,LK,81.39,overcast clouds,7.4167,81.8167,VS Villa
140,Suez,EG,79.45,clear sky,29.9737,32.5263,Green House
142,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
149,Bud,US,88.84,broken clouds,39.447,-86.1758,Ted McQuinn Trust
150,Faanui,PF,76.19,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
152,Vadastrita,RO,75.43,clear sky,43.85,24.3333,Căminul cultural
167,Neiafu,TO,77.68,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
172,Khash,IR,84.29,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
176,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
177,Wanning,CN,79.16,scattered clouds,18.8003,110.3967,Paradise Hotel
179,Kloulklubed,PW,83.1,light rain,7.0419,134.2556,Storyboard Beach Resort
181,Guarapari,BR,76.91,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
186,Ibra,OM,88.43,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
187,Port Blair,IN,82.06,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
188,Wajima,JP,77.92,clear sky,37.4,136.9,Wajiima Onsen Yashio
189,Kismayo,SO,76.23,broken clouds,-0.3582,42.5454,Agan-Hotel
190,Fountain Hills,US,83.52,overcast clouds,33.6117,-111.7174,Lakeshore Hotel & Suites
192,Natal,BR,83.05,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
194,Shwebo,MM,79.7,scattered clouds,22.5667,95.7,MOON SHINE Guest House
195,Chardara,KZ,84.07,clear sky,41.2547,67.9692,Жанаргул
196,Oistins,BB,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
197,Sioux Lookout,CA,80.98,smoke,50.1001,-91.917,Knobby's Fly-In Camps
198,Dwarka,IN,82.47,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
202,Batticaloa,LK,82.15,overcast clouds,7.7102,81.6924,Grand Star Guest House
203,Paungde,MM,76.5,overcast clouds,18.4833,95.5,Shwe Eain Matt highly cool guest house
204,Salalah,OM,77.43,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
207,Zhezkazgan,KZ,84.74,clear sky,47.8043,67.7144,Hotel Zumrat
209,Posadas,AR,84.18,clear sky,-27.3671,-55.8961,Hotel Posadas
212,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
213,Santiago Del Estero,AR,78.8,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
221,Kentau,KZ,86.81,clear sky,43.5206,68.5094,Safary
226,Hambantota,LK,79.2,overcast clouds,6.1241,81.1185,Bungalow 63
227,Salamiyah,SY,76.95,scattered clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
232,Cruzeiro Do Sul,BR,80.49,clear sky,-29.5128,-51.9853,Estrela Palace Hotel
